Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-09-12;8;21.4;15.2;10.3;89.7;76;10.4;3.1;
2014-09-13;0;28.1;21;13;73.5;48;11.2;2.6;
2014-09-14;0;29.4;22.1;16.7;65;33;10.2;4;
2014-09-15;12.6;22.1;16.8;17;88;65;14.7;4.1;
2014-09-16;5.6;18.9;13.2;8.9;77.3;43;9.1;2.2;
2014-09-17;0;21.6;14.1;8.6;78.1;54;8.9;2.4;
2014-09-18;0;18.4;16.1;13.3;81.5;76;11.1;3.7;
2014-09-19;.2;19.8;16.8;15.2;86.5;76;8.4;1.8;
2014-09-20;4.6;20.5;17.2;15.6;85.4;60;9;2.6;
2014-09-21;.6;15.7;12.7;10.1;81;63;8.9;2.7;
2014-09-22;.2;22.5;14.6;7.2;67.6;37;9.8;3;
2014-09-23;0;25;17.9;12.1;60.2;41;15.9;4.6;
2014-09-24;11.4;22.8;17.3;14.5;83.5;47;9.5;2.4;
2014-09-25;0;26.3;19;13.8;76;48;10.7;3.5;
2014-09-26;38.4;22.7;16.7;15.4;90.2;65;14.5;3.9;
2014-09-27;0;18;13.4;10.4;85.7;77;13.5;2.8;
2014-09-28;.6;20.6;17;12.9;82;68;12.4;5.1;
2014-09-29;24.8;19.6;18.1;16.8;93.1;90;15.6;2.6;
2014-09-30;1.4;18.9;17.5;16.4;95.7;88;11.5;2.5;
2014-10-01;15.4;17.8;16.3;15.7;86.4;61;12.3;2.9;
2014-10-02;0;19;14.1;10.7;75.5;56;11.3;3.1;
2014-10-03;0;21.4;14.6;9.9;68.2;42;10.4;4.1;
2014-10-04;0;22.4;15.6;11.3;63.5;42;15.6;5;
2014-10-05;0;21.7;16.6;13.5;63.6;49;17.3;5.4;
2014-10-06;0;17.6;15;12.6;75.4;62;14.7;4.1;
2014-10-07;1;25.4;18.4;14.2;75.1;51;11.9;2.9;
2014-10-08;0;28.1;21.4;16.1;68.5;41;6.5;2.3;
2014-10-09;0;28.8;21.6;17.6;70.3;39;14;4.3;
2014-10-10;0;29.7;22.4;19.5;65.4;43;12.3;4.3;
2014-10-11;.4;17.7;14.6;11.9;94.1;83;9.1;2;
2014-10-12;10.8;28.3;20.1;13.8;88.1;67;8.4;2.3;
2014-10-13;1.6;20;17.5;16.4;96.2;87;8.6;1.5;
2014-10-14;30.6;22.1;17.4;15.2;89.3;70;9.7;2.1;
2014-10-15;0;29.4;21.7;15.6;69.8;33;10.3;3.3;
2014-10-16;0;25.3;20.1;19;76.2;55;19.2;6.2;
2014-10-17;29;20.2;17.8;16.8;84.8;69;20.3;4.6;
2014-10-18;33.6;18.9;17.4;15.6;89.2;75;14.3;3.9;
